"","rep","real_sum","real_max","real_min","realC","realmean","mess_sum","mess_max","mess_min","messC","messMean","genNum","countryNum","refNum","ageNum","act2Count","act3Count","act4Count","act6Count","act7Count","act26Count","act27Count","activity","sessions","maxlevel","last","length"
"13",1,0,0,0,0,0,675.616084,195.889154,0,15.956226,102.036676,2,88.674876,27,34.558618,0,0,0,7.756423,0,0.360359,0.132478,3.93943,34.017762,4.477531,6042448.4846,5506671.567614
"14",0,0,0,0,0,0,0,0,0,0,0,1,1,76,21,0,0,0,0,0,0,0,0,288,1,5536332,5536432
"15",0,0,0,0,0,0,0,0,0,0,0,1,120,6,30,0,0,8,0,16,0,0,24,128,1,5300206,5300292
"16",0,0,0,0,0,0,0,0,0,0,0,1,1,7,17,0,0,0,0,0,0,12,12,768,2,6214469,6214920
"17",1,0,0,0,0,0,0,0,0,0,0,2,62.570597,16.188015,51.142311,0,0,18.817095,3.295857,0,14.169493,0,24.42572,95.268535,5.36373,5355489.171299,5478519.859549
"18",1,0,0,0,0,0,0,0,0,0,0,2,124,62.391009,51.837412,0,0,3.348451,2.388193,0,7.414838,3.744052,22.111773,56.760782,4.080185,5385548.725628,5477597.762206
"19",0,0,0,0,0,0,0,0,0,0,0,1,61,7,23,0,0,0,0,0,0,0,0,64,3,5223560,5381154
"20",1,0,0,0,0,0,0,0,0,0,0,2,55.569134,49.647092,49.179616,0,0,3.795071,0,0,10.800164,0.975595,19.416015,41.141108,3.873721,5435407.680541,5479863.441037
"21",0,0,0,0,0,0,0,0,0,0,0,1,106,5,0,0,0,4,4,0,4,4,16,16,2,5378184,5458546
"22",1,0,0,0,0,0,0,0,0,0,0,1.122284,121.60976,34.050777,43.125978,0,0,0,0,0,0,0,0,30.272559,5,5625453.465381,5648177.354712
"23",0,0,0,0,0,0,0,0,0,0,0,2,124,18,65,0,0,4,0,0,8,4,16,64,2,5195339,6031849
"24",1,0,0,0,0,0,0,0,0,0,0,2,1.063441,50.797569,47.998698,0,0,0,0,0,0,8.820648,9.020887,56.540435,3.282537,6207395.616772,6313886.24827
"25",1,0,0,0,0,0,4577.286795,19901.824488,0,1.958607,16251.922066,2,1,34.191946,46.170174,14.048964,0,14.202272,0,0,1.688068,22.262843,75.075282,30.835136,3.41732,6064381.599073,6097276.869939
"26",1,133.445507,11.854317,0,4.416977,11.070506,58001.330897,12232.431667,0,8.943644,2190.059726,2,124,49.769346,57,1.841342,0,0.168377,0,0,0,0,2.085675,59.763949,14.331083,6247118.651233,5922045.553902
"27",0,0,0,0,0,0,0,0,0,0,0,1,91,29,26,0,0,0,0,0,0,0,0,16,3,5473451,6092867
"28",1,0,0,0,0,0,0,0,0,0,0,1.54477,14.117768,16.982824,52.243604,0,0,0,0,0,0,0,0,328.683949,3.601414,5483893.392175,5511239.923661
"29",1,0,0,0,0,0,4358.031077,359.108566,0,10.230247,247.01594,1.677801,114.994713,7.668981,50.321997,0,0,0.350399,0,0,0.046937,0,15.1713,153.650838,4.339471,5353156.184671,5473340.677016
"30",0,0,0,0,0,0,0,0,0,0,0,1,1,7,41,0,0,4,0,0,0,0,4,32,1,5194551,5422501
"31",1,0,0,0,0,0,0,0,0,0,0,2,53.88047,50.201663,44.773134,0,0,0,0,0,0,0,0,279.143041,6.43269,5436237.742388,5477556.847434
"32",0,0,0,0,0,0,0,0,0,0,0,2,41,6,17,0,0,0,0,0,0,0,0,16,1,6629365,5378008
"33",1,0,0,0,0,0,0,0,0,0,0,2,12,47.539222,39.334977,10.304987,4.711457,1.152704,0,0,3.563515,4.18025,25.076861,16,2.694777,6035853.934911,6531186.854208
"34",1,0,0,0,0,0,0,0,0,0,0,2,92.283417,32.812246,33.078466,0,0,0,0,0,8.606527,2.955927,29.390437,25.739397,3.208058,5876241.98963,6516304.2852
"35",1,0,0,0,0,0,0,0,0,0,0,2,22.988735,31.012023,43.925242,0,0,4.235095,0,0,9.000954,0,8.825252,60.60651,4.50705,5415008.924484,5477091.342655
"36",0,0,0,0,0,0,0,0,0,0,0,2,73,7,24,0,0,0,0,0,0,0,0,32,1,6019134,5488916
"37",0,0,0,0,0,0,0,0,0,0,0,1,1,76,55,0,0,0,0,0,12,16,28,16,1,5360318,5434299
"38",1,0,0,0,0,0,0,0,0,0,0,2,98.307184,16.590326,37.641194,0,0,18.610345,0,0,0.055057,0.396413,0.491776,509.006326,3.740497,5451960.154423,5374483.644074
"39",0,0,0,0,0,0,35952,1156,0,48,749,1,42,5,31,0,0,0,0,0,0,0,0,64,9,5281969,5436095
"40",0,0,0,0,0,0,0,0,0,0,0,2,1,37,39,0,0,0,0,0,0,0,0,16,3,6030939,5491840
"41",0,0,0,0,0,0,0,0,0,0,0,2,14,6,20,0,0,0,0,0,12,4,16,32,1,5496132,5370335
"42",1,0,0,0,0,0,1383071.321126,139550.721478,0,5.168675,90315.438134,2,1,16.808186,30.44393,31.251887,10.536853,16,0,0,16.585329,24.661561,81.28075,26.159189,2.416319,6016734.127509,6087089.118356
"43",1,0,0,0,0,0,144864.408614,129.761463,0,72.232607,1143.446257,1.042796,124,26.251553,27.635813,1.179083,0.337173,1.801903,0,0,17.371994,4.76436,36,32,8.078158,5889071.311695,6508794.93434
"44",1,0,0,0,6.740837,0,8693.109876,180.765445,0,2.137058,441.190368,2,29.120956,27,41.048662,5.500962,0,0,7.958199,0,21.04272,5.263869,54.162413,317.071989,5,6041101.678092,5489271.537201
"45",0,0,0,0,0,0,0,0,0,0,0,2,1,27,46,0,0,16,0,0,32,8,56,80,1,6113397,6036970
"46",0,0,0,0,0,0,0,0,0,0,0,2,125,76,14,0,0,0,0,0,0,0,0,64,4,5465609,5911608
"47",0,0,0,0,0,0,0,0,0,0,0,1,120,7,15,0,0,0,0,0,0,0,0,64,1,5458108,5259456
"48",1,0,0,0,0,0,0,0,0,0,0,2,29.689794,16.566118,35.947063,0,0,6.994108,0,0,8.733813,0,6.853387,35.588832,4,5325795.537219,5470598.559346
"49",0,0,0,0,0,0,0,0,0,0,0,1,12,35,29,0,0,0,0,0,0,0,0,16,3,6107714,6091682
"50",0,0,0,0,0,0,0,0,0,0,0,2,1,28,46,0,0,0,0,0,0,0,0,16,6,6039999,5498877
"51",0,0,0,0,0,0,0,0,0,0,0,1,105,7,0,0,0,32,0,0,16,12,60,208,1,5383777,5462077
"52",0,0,0,0,0,0,0,0,0,0,0,2,64,7,17,0,0,0,0,0,0,0,0,64,1,5576496,5576560
"53",0,0,0,0,0,0,0,0,0,0,0,1,73,7,0,0,0,0,0,0,0,0,0,48,1,6152739,6152742
"54",1,0,0,0,0,0,0,0,0,0,0,2,77.422993,60.954356,57.082891,0,0,2.011401,0,0,9.647786,0.750473,6.269398,29.38723,4.73192,5433876.924211,5478705.469407
"55",0,0,0,0,0,0,0,0,0,0,0,1,1,7,16,0,0,0,0,4,0,0,4,208,1,6527261,5991829
"56",0,0,0,0,0,0,0,0,0,0,0,1,124,1,60,0,0,32,0,0,0,32,64,16,1,6259939,6260048
"57",0,0,0,0,0,0,0,0,0,0,0,1,106,7,13,0,0,0,0,0,0,0,0,16,1,6158164,6277295
"58",1,0,0,0,0,0,0,0,0,0,0,1.895155,124,52.636296,68.628677,0,0,0,0,0,0,0,0,19.372447,6.610232,5429567.547119,5946362.475466
"59",1,1.032547,1.179386,0,6.925066,3.337702,19569.967494,80.003943,0,2.375823,11135.116295,2,118.801027,44.784725,53.291566,28.941629,9549.256635,3.616106,0.791174,0,5.861303,3.793313,73614.238376,64,8.314609,6498291.421942,5946745.94659
"60",0,0,0,0,0,0,1814940,43551,0,88,20624.318182,2,124,71,46,0,0,0,0,0,0,0,0,32,8,5294421,5409915
"61",0,0,0,0,0,0,0,0,0,0,0,2,5,7,20,0,0,0,0,0,12,16,28,16,1,5351122,5352044
"62",1,144.763121,8.775192,0,9.485621,9.392139,0,0,0,0,0,2,40.006144,30.903155,54.870562,1.961782,102450.825468,0,1.869379,0,5.4033,4.511778,53024.161766,36.835788,11.125231,6451331.604706,5987810.196243
"63",0,0,0,0,0,0,0,0,0,0,0,2,120,7,27,0,0,48,0,0,0,0,48,64,1,5299905,5960915
"64",0,0,0,0,0,0,0,0,0,0,0,1,120,76,36,0,0,4,0,0,4,16,24,16,2,5193563,5424195
"65",1,0,0,0,0,0,0,0,0,0,0,2,124,31.759988,52.572372,0,0,0,2.138001,0,0,0,1.352889,55.658694,6.480177,5343495.943828,5475427.67201
"66",1,0,0,0,7.92862,0,0,0,0,0,0,1.57699,124,42.913325,53.904188,3.111824,4.399558,4,3.92253,0,100.302767,5.183678,122.481882,18.215056,6.109624,5450306.529361,5386920.569065
"67",0,0,0,0,0,0,0,0,0,0,0,2,12,55,43,12,12,16,4,4,8,16,72,16,3,5285627,5990225
"68",1,0,0,0,0,0,96.866309,254.8755,0,13.784912,480.394296,1,95.305562,9.311466,17.824084,17.166324,3.106545,56.94278,10.940428,0,1.696332,1.711679,69.045644,22.551348,4,5298415.427866,6107188.293947
"69",1,0,0,0,0,0,0,0,0,0,0,2,124,67.579648,52.946699,0,0,3.544346,0,0,10.422256,2.910643,13.055952,25.495416,7.562332,5422365.553224,5475794.305996
"70",1,0,0,0,0,0,0,0,0,0,0,1.340643,124,41.054482,44,0,27.61128,0.858271,0,0,0.841017,1.068702,33.379123,55.782476,3.776919,5324783.470682,6075662.818827
"71",1,0,0,0,2.20999,0,3101.134627,140.561564,0,13.27506,481.531709,2,86.685841,27,41.115451,29.343332,0,0,5.487762,0,14.173556,11.335249,78.780283,604.317305,5,6041049.582587,5492546.266787
"72",0,0,0,0,0,0,0,0,0,0,0,2,124,79,49,0,0,0,0,0,0,0,0,48,3,6414538,5882091
"73",0,0,0,0,0,0,0,0,0,0,0,1,106,76,20,0,0,24,0,0,8,24,56,16,6,5371318,5448054
"74",0,0,0,0,0,0,0,0,0,0,0,1,124,69,34,0,0,0,0,0,0,0,0,64,2,5424996,5477096
"75",1,0,0,0,0.909396,0,0,0,0,0,0,1.514175,124,10.977363,39.332256,2.450842,0.978897,19.291245,1.849846,0,29.379683,8,40.318984,19.406854,6.485694,5486083.463717,5313368.185493
"76",1,0,0,0,0,0,0,0,0,0,0,2,39.0416,60.575348,35.319065,0,0,1.746315,0,0,0,0,3.859881,18.78294,3.154602,5528114.711633,5496869.762194
"77",1,0,0,0,0,0,649033.918284,24206.931957,0,14.295551,18726.742751,2,66.793534,59.727251,38.211129,31.742056,0,12.027244,0,0,3.566279,26.138204,53.628746,55.086273,3.841245,6404376.174548,5927661.269643
"78",0,0,0,0,0,0,0,0,0,0,0,1,17,7,32,0,0,0,0,0,0,0,0,16,3,6503123,6146975
"79",0,0,0,0,0,0,0,0,0,0,0,1,120,5,15,0,0,0,0,0,0,0,0,16,3,5577901,5577923
"80",1,0,0,0,0,0,0,0,0,0,0,2,124,65.249788,51.552644,0,0,0.472805,2.418346,0,0.492786,2.431889,7.374737,19.123864,4.123249,5348798.925072,5476571.336842
"81",0,0,0,0,0,0,0,0,0,0,0,1,1,76,16,0,0,0,0,0,0,0,0,32,1,5350832,5351996
"82",1,0,0,0,0,0,0,0,0,0,0,1,10.590472,63.168423,35.445941,0.724266,0,1.803929,0,0,18.359786,5.679085,6.650487,52.405899,4.927027,5580443.367116,5559837.236437
"83",0,0,0,0,0,0,0,0,0,0,0,2,26,69,33,0,0,0,0,0,0,0,0,16,1,5393222,5466601
"84",1,0,0,0,0,0,2076388.657469,108046.235549,0,131.374168,3881.210296,1,47.502921,66.228609,2.151074,0.378652,2.00616,1.845155,0,0,12.606155,0.276233,2.064647,60.294022,5.52938,6273790.526303,6480527.996505
"85",0,0,0,0,0,0,9664872,515997,0,72,134234.333333,1,1,1,15,0,0,16,0,0,0,16,32,768,6,6300942,6301436
"86",1,0,0,0,0,0,3656.151848,1083.355985,0,13.859566,250.674453,1.735579,31.384094,12.255895,18.192571,0.821376,20.50488,7.443248,6.199024,0,6.413773,5.025742,87.305587,16,2.00091,5205349.804708,6189956.181078
"87",0,0,0,0,0,0,0,0,0,0,0,2,120,7,28,0,0,8,0,0,4,8,20,192,1,5402433,6026668
"88",0,0,0,0,0,0,0,0,0,0,0,1,120,5,29,4,20,4,0,4,4,20,56,16,2,5970772,5483511
"89",1,0,0,0,4.938045,0,0,0,0,0,0,2,124,27,35.266518,33.524724,0,0,1.267208,0,0.388815,9.11655,20.61656,288.587437,4.131323,6043956.142834,5500479.095061
"90",0,0,0,0,0,0,0,0,0,0,0,2,106,76,19,0,0,0,0,0,0,0,0,64,1,5370668,5447689
"91",0,0,0,0,0,0,0,0,0,0,0,2,120,7,15,0,0,16,0,0,0,8,24,32,4,6202149,6202475
"92",1,0,0,0,0,0,1667088.131807,401292.468012,0,8.970679,328602.435971,2,1,29.92149,43.791987,26.65848,1.805228,16,0,0,14.261622,19.144354,94.256691,31.421,2.079243,6031958.342207,6465724.493883
"93",0,0,0,0,0,0,632960,79120,0,8,79120,1,46,71,20,0,0,0,0,0,0,0,0,32,4,5462795,5885485
"94",0,0,0,0,0,0,0,0,0,0,0,1,73,71,14,0,0,0,0,0,0,0,0,32,1,5375956,5455271
"95",1,0,0,0,0,0,3600.200581,427.953977,0,7.820298,58.338032,2,78.315925,27,31.825647,0,0,0,7.164781,0,5.066597,3.888885,3.064792,19.864283,4.489549,6041810.816141,5504663.189808
"96",1,0,0,0,0,0,5451.667945,206.022956,0,13.987438,231.185827,1.304993,122.640841,13.535794,20.085804,2.084687,21.814903,16.1558,2.317626,0,6.939655,7.318294,87.524873,16,2.834266,5205569.976107,6186237.157054
"97",1,0,0,0,0,0,688100.285454,60638.256105,0,28.869808,56358.153929,1.407177,50.348267,29.64216,17.272164,7.788231,7.257196,12.540616,0,0,10.308627,22.016693,59.609478,19.414272,8.067019,5993098.80633,6092920.846937
"98",0,0,0,0,0,0,0,0,0,0,0,2,124,27,54,0,0,4,0,0,0,4,8,32,2,5196454,6013307
"99",1,0,0,0,0,0,0,0,0,0,0,2,124,27,28.34351,0,0,0,0,0,0,0,0,35.442055,4.311942,5896433.297841,5521411.860843
"100",1,0,0,0,0,0,0,0,0,0,0,2,8.904666,23.249554,54.969616,0,0,15.718686,0,0,15.996771,0,17.463016,75.675868,4.637387,5428476.481425,5478734.401805
"101",1,0,0,0,0,0,0,0,0,0,0,2,12,53.398807,38.07879,6.792439,0.869376,1.094021,0,0,3.87173,3.844315,33.592585,16,2.752907,6225876.693314,6574220.270294
"102",0,0,0,0,0,0,0,0,0,0,0,2,106,6,15,0,0,0,0,0,0,0,0,16,1,5476138,6143528
"103",0,0,0,0,0,0,0,0,0,0,0,1,120,6,42,0,0,0,0,0,4,4,8,16,1,5384363,5462480
"104",1,0,0,0,0,0,0,0,0,0,0,2,91.267091,29.298392,42.759996,0,0,1.612249,0,0,4.730589,2.944974,17.208128,481.655803,3.479474,5437266.190031,5480090.253398
"105",0,0,0,0,0,0,0,0,0,0,0,1,120,76,0,0,0,16,0,0,8,48,72,16,1,5567124,5567203
"106",1,0,0,0,0,0,0,0,0,0,0,2,117.681724,29.627939,33.747937,0,0,0,0,0,17.450683,14.668756,20.068715,56.311877,4,6160860.537324,6431633.317151
"107",0,0,0,0,0,0,0,0,0,0,0,2,106,76,13,0,0,0,0,0,0,0,0,16,1,5585884,5586208
"108",1,0,0,0,0,0,5538.267514,782.954114,0,14.656499,779.820178,2,79.736149,27,38.740708,0,0,0,4.440042,0,1.971262,1.962059,18.808443,34.951388,4.762498,6041566.301423,5501464.936299
"109",0,0,0,0,0,0,0,0,0,0,0,1,73,1,18,4,304,4,0,0,40,24,376,64,1,5369568,5568187
"110",0,0,0,0,0,0,4120,1030,0,4,1030,2,124,71,44,0,0,696,0,0,16,16,728,80,2,6013280,5488055
"111",1,0,0,0,0,0,0,0,0,0,0,2,19.689289,31.426285,30.843775,9.018964,4.308897,2.397928,0,0,13.48762,8,40.252673,24.741724,2.323093,5840506.947883,6514048.895336
"112",0,0,0,0,0,0,0,0,0,0,0,2,124,32,48,0,0,0,0,0,0,0,0,16,4,5471506,6417545
"113",1,0,0,0,0,0,0,0,0,0,0,1.717633,124,34.285855,44.362612,16.129953,54.020585,35.673882,11.659905,0,0.518663,9.855068,8.060596,56.049492,4,5768896.446046,6017175.75704
"114",1,0,0,0,0,0,0,0,0,0,0,2,37.721205,16.196262,43.463908,0,0,19.897072,0,0,16,3.01941,24.27899,28.980635,4,5432813.493611,5479284.377099
"115",1,0,0,0,0,0,1068101.052281,196238.696934,0,9.566445,357653.953504,2,76.356587,17.052539,56.105138,32,4.551507,7.913601,0,0,5.197174,14.876019,77.862378,46.762097,8.820689,6144211.297,6318871.384702
"116",0,0,0,0,0,0,0,0,0,0,0,1,73,76,31,0,0,8,0,0,0,24,32,128,1,6209204,6224657
"117",0,0,0,0,0,0,0,0,0,0,0,1,118,7,15,0,0,0,0,0,0,0,0,16,1,5546238,5586192
"118",0,0,0,0,0,0,0,0,0,0,0,2,120,63,46,4,8,60,0,8,20,32,132,16,1,5431854,5478803
"119",0,0,0,0,0,0,0,0,0,0,0,1,120,7,21,4,0,8,4,0,4,16,36,48,2,5488043,5534362
"120",1,0,0,0,0,0,0,0,0,0,0,2,124,30.407587,29.955939,0,0,2.064636,0,0,7.302886,6.694615,4.582663,19.59821,7.107952,5436288.462349,5234041.163918
"121",0,0,0,0,0,0,0,0,0,0,0,2,124,1,0,0,0,4,0,0,0,4,8,32,4,6523612,5987438
"122",0,0,0,0,0,0,0,0,0,0,0,1,35,67,42,0,0,0,0,0,0,0,0,16,2,5222001,5381099
"123",1,0,0,0,0,0,0,0,0,0,0,2,124,21.282945,47.714748,0,0,0,2.533899,0,0,0,1.164805,34.279445,4.503322,5317346.260379,5471860.403117
"124",0,0,0,0,0,0,0,0,0,0,0,2,124,5,0,0,0,0,0,0,0,0,0,32,3,5395807,5471398
"125",0,0,0,0,0,0,0,0,0,0,0,2,106,48,23,16,32,4,0,0,4,16,72,64,1,5367776,5529889
"126",1,72.790362,3.354312,0,13.629872,9.806194,0,0,0,0,0,2,124,24.552057,55.306076,11.347239,64.594869,24.766809,2.29733,0,6.757016,27.341033,4.392861,22.680131,11.562035,5911979.964041,6007556.22812
"127",0,0,0,0,0,0,0,0,0,0,0,2,120,7,20,0,0,0,0,0,0,0,0,16,1,5496496,5370602
"128",1,0,0,0,0,0,0,0,0,0,0,2,124,27,41.140348,8.197097,55.85665,6.972824,6.372863,0,3.57763,18.85527,28.091145,32,4.519848,5776485.739182,5894409.668623
"129",1,0,0,0,0,0,48630.75717,680.287321,0,3.631191,54841.613249,2,76.354215,69.774039,50.632827,3.92121,0,0,3.446671,0,7.378625,3.363522,2.523501,31.730977,5.29635,5256861.075296,5456233.435089
"130",0,0,0,0,0,0,0,0,0,0,0,1,120,7,19,0,0,0,4,0,0,4,8,128,1,5883463,6499068
"131",1,0,0,0,2.217643,0,0,0,0,0,0,1.80738,124,17.116111,43.169234,0.17563,4.059136,16.740926,0.258747,0,54.845797,8,100.052002,19.789278,6.848894,5468853.942593,5280243.866554
"132",1,0,0,0,0,0,453081.302242,132066.40631,0,31.46901,50701.475923,1.900825,25.65816,71,35.951474,0.253791,0,0,0.403852,0,4.644587,2.181115,10.275212,52.585548,3.120109,6213343.15225,5557921.352398
"133",0,0,0,0,0,0,0,0,0,0,0,1,120,5,0,0,0,0,0,0,0,0,0,32,6,5227711,5381348
"134",1,0,0,0,0,0,0,0,0,0,0,2,4.007754,17.777435,41.699685,10.320108,1.372843,1.99636,0,0,3.572531,10.306296,40.520632,48.86987,3.137232,6147625.743016,6303329.598866
"135",1,0,0,0,0,0,0,0,0,0,0,2,111.560338,22.314241,35.167137,0,0,13.073361,0,0,9.52554,0.565877,25.943574,60.908253,5,5435314.355807,5430234.142953
"136",1,0,0,0,0,0,1571485.890759,109578.512569,0,15.008028,256819.357914,2,81.219618,50.092276,56.19554,32,7.350901,8.870702,0,0,0.751782,1.400795,65.066029,63.669131,2.444018,6284040.911305,6077078.330997
"137",0,0,0,0,0,0,0,0,0,0,0,1,120,7,16,0,0,32,0,0,64,0,96,16,1,5452442,5223867
"138",1,0,0,0,0,0,0,0,0,0,0,2,124,27,48.908917,14.783657,89.093124,5.514265,7.058741,0,7.708838,30.070126,12.187759,26.720375,4.320031,5589070.971882,5994606.368186
"139",1,0,0,0,0,0,0,0,0,0,0,2,87.744445,18.182109,47.487514,0,0,0,0,0,0,0,0,25.806129,4.328506,5411273.197036,5471137.225572
"140",0,0,0,0,0,0,0,0,0,0,0,1,106,7,27,24,0,0,0,0,0,0,24,64,1,5205900,6024891
"141",0,0,0,0,0,0,0,0,0,0,0,1,120,1,17,0,0,0,0,0,0,0,0,16,2,5321658,5321812
"142",0,0,0,0,0,0,0,0,0,0,0,1,1,5,27,0,0,0,0,0,0,0,0,16,2,6026173,5481448
"143",1,0,0,0,0,0,0,0,0,0,0,2,61.824238,19.99357,46.340309,17.413774,52.315304,32.121922,8.748955,0,6.191321,31.194312,151.484794,26.532905,2.744141,5923673.5204,6253341.55396
"144",1,0,0,0,0,0,0,0,0,0,0,2,22.5228,38.283385,53.154275,0,0,0,0,0,0,0,0,58.334545,7.449721,5427158.78476,5478147.350632
"145",1,0,0,0,0,0,0,0,0,0,0,2,65.458058,54.321562,54.834584,0,0,2.212844,0,0,13.287868,1.265061,4.676262,23.456169,4.775785,5434135.187422,5479481.423887
"146",0,0,0,0,0,0,0,0,0,0,0,1,124,5,0,0,0,0,0,0,0,0,0,16,1,5324233,5324233
"147",0,0,0,0,0,0,0,0,0,0,0,1,120,6,0,4,8,0,0,0,0,0,12,16,1,5482316,6321067
"148",0,0,0,0,0,0,0,0,0,0,0,2,106,76,39,0,0,32,0,0,0,32,64,256,1,5265810,6039160
"149",0,0,0,0,0,0,0,0,0,0,0,1,120,6,35,0,0,16,0,0,0,36,52,32,1,6455366,5870330
"150",1,43.688369,12.273434,0,12.490296,4.097275,0,0,0,0,0,2,4.435632,22.469312,48.647327,0,0,0,0,0,0,4.037584,2.817384,58.962511,20.500439,6161568.681033,6061719.11147
"151",1,0,0,0,0,0,38731.389072,14317.46585,0,5.810295,6569.689925,1.839239,124,33.872793,53.534763,5.965008,15.090188,11.842688,10.175852,0,3.996703,27.109819,85.71526,337.859048,4.516986,5751825.305364,6023083.201256
"152",0,0,0,0,0,0,0,0,0,0,0,2,120,7,39,0,0,4,0,0,0,16,20,16,1,5191772,6011151
"153",0,0,0,0,0,0,0,0,0,0,0,1,78,7,17,0,0,32,4,0,0,0,36,16,1,6239160,6240463
"154",1,0,0,0,0,0,0,0,0,0,0,2,38.317978,20.251485,43.961128,0,0,5.944988,0,0,16,3.29596,29.62704,33.404173,4,5427394.263915,5479032.689707
"155",1,0,0,0,0,0,0,0,0,0,0,2,124,27,40.649035,11.040638,28.059181,9.032402,8.456496,0,4.912902,19.115294,59.798579,32,4.122303,5775799.880072,5911152.942705
"156",1,0,0,0,0,0,697581.304249,130680.549764,0,13.430857,53804.01943,1.364986,36.805489,71,34.750112,8.645399,0,0,3.481905,0,1.4458,1.886361,24.288174,57.04565,3.715447,6302578.26135,5597394.113882
"157",1,0,0,0,0,0,120303.718474,990.763109,0,39.530433,822.776441,1.341793,33.324701,10.361804,15.169276,3.272077,7.921171,1.319698,0,0,3.007,0.007167,31.346742,30.038124,4.166215,5918857.330835,6572424.07712
"158",1,0,0,0,0,0,161259.644088,10972.409689,0,8.584374,1948.715446,2,12.787276,32.247094,55.935249,26.587045,0,0.340582,0,0,0,0.863273,18.133666,64,6.577892,6241106.17098,6084116.168434
"159",1,0,0,0,0.884652,0,0,0,0,0,0,1.890945,117.618369,19.770065,63.815011,3.36854,0.386373,2.097967,3.992533,0,3.555183,3.964146,9.906083,37.080274,7.650019,5452215.662712,5370261.113847
"160",1,0,0,0,0,0,178741.953036,121891.979764,0,4.022644,403981.819749,1.96884,63.938615,65.300728,51.644712,8.700086,7.265249,8.613938,0,0,13.542862,12.496632,38.204366,404.277708,3.043823,5796688.024942,6368011.471988
"161",0,0,0,0,0,0,0,0,0,0,0,1,127,7,19,0,0,0,0,0,44,4,48,48,1,5462899,5897530
"162",1,0,0,0,0,0,0,0,0,0,0,1.841089,124,39.163584,84.682901,0,0,0,0,0,0,0,0,40.250633,4.214163,5443234.224556,6019005.079081
"163",0,0,0,0,0,0,0,0,0,0,0,1,1,6,23,0,0,0,0,0,0,16,16,48,1,5477012,6223665
"164",0,0,0,0,0,0,0,0,0,0,0,1,46,67,26,0,0,0,0,0,0,0,0,16,3,5783163,6528644
"165",0,0,0,0,0,0,1068448,128725,0,16,66778,1,41,76,29,0,0,32,0,0,8,16,56,16,6,5375708,5454937
"166",1,0,0,0,6.473288,0,0,0,0,0,0,1.724145,124,17.92272,57.254154,1.100047,7.020359,4.343028,0.605246,0,100.062122,8,102.462425,31.426692,7.149551,5457578.243813,5316464.548275
"167",1,0,0,0,0,0,1245811.400612,152063.406163,0,10.448999,364943.101318,1.443396,27.349127,32.601579,52.955038,25.620715,0.964209,6.091947,0,0,19.508332,12.608415,22.704548,187.400981,4.117303,5775459.874476,6511112.872969
"168",1,0,0,0,0,0,0,0,0,0,0,2,76.46223,34.09361,55.353042,0,0,0,0,0,0,0,0,32.345277,7.786735,5424704.021069,5475604.885281
"169",0,0,0,0,0,0,0,0,0,0,0,1,120,7,24,0,0,0,0,0,0,0,0,112,2,5762083,6495086
